"date","sunrise","sunset","day_length"
2021-03-09,"2021-03-09T14:14:41+00:00","2021-03-10T02:00:24+00:00","42343"
2021-03-06,"2021-03-06T14:18:47+00:00","2021-03-07T01:57:47+00:00","41940"
2021-03-07,"2021-03-07T14:17:25+00:00","2021-03-08T01:58:40+00:00","42075"
2021-03-08,"2021-03-08T14:16:03+00:00","2021-03-09T01:59:32+00:00","42209"
2009-01-01,"2009-01-01T15:06:36+00:00","2009-01-02T00:56:06+00:00","35370"
2009-01-02,"2009-01-02T15:06:44+00:00","2009-01-03T00:56:53+00:00","35409"
2009-01-03,"2009-01-03T15:06:50+00:00","2009-01-04T00:57:42+00:00","35452"
2009-01-04,"2009-01-04T15:06:54+00:00","2009-01-05T00:58:32+00:00","35498"
2009-01-05,"2009-01-05T15:06:56+00:00","2009-01-06T00:59:23+00:00","35547"
2009-01-06,"2009-01-06T15:06:56+00:00","2009-01-07T01:00:15+00:00","35599"
2009-01-07,"2009-01-07T15:06:55+00:00","2009-01-08T01:01:07+00:00","35652"
2009-01-08,"2009-01-08T15:06:51+00:00","2009-01-09T01:02:01+00:00","35710"
2009-01-09,"2009-01-09T15:06:45+00:00","2009-01-10T01:02:56+00:00","35771"
2009-01-10,"2009-01-10T15:06:37+00:00","2009-01-11T01:03:51+00:00","35834"
2009-01-11,"2009-01-11T15:06:28+00:00","2009-01-12T01:04:47+00:00","35899"
2009-01-12,"2009-01-12T15:06:16+00:00","2009-01-13T01:05:44+00:00","35968"
2009-01-13,"2009-01-13T15:06:03+00:00","2009-01-14T01:06:41+00:00","36038"
2009-01-14,"2009-01-14T15:05:48+00:00","2009-01-15T01:07:40+00:00","36112"
2009-01-15,"2009-01-15T15:05:30+00:00","2009-01-16T01:08:38+00:00","36188"
2009-01-16,"2009-01-16T15:05:11+00:00","2009-01-17T01:09:37+00:00","36266"
2009-01-17,"2009-01-17T15:04:50+00:00","2009-01-18T01:10:37+00:00","36347"
2009-01-18,"2009-01-18T15:04:27+00:00","2009-01-19T01:11:37+00:00","36430"
2009-01-19,"2009-01-19T15:04:02+00:00","2009-01-20T01:12:37+00:00","36515"
2009-01-20,"2009-01-20T15:03:36+00:00","2009-01-21T01:13:38+00:00","36602"
2009-01-21,"2009-01-21T15:03:07+00:00","2009-01-22T01:14:39+00:00","36692"
2009-01-22,"2009-01-22T15:02:37+00:00","2009-01-23T01:15:40+00:00","36783"
2009-01-23,"2009-01-23T15:02:05+00:00","2009-01-24T01:16:42+00:00","36877"
2009-01-24,"2009-01-24T15:01:31+00:00","2009-01-25T01:17:44+00:00","36973"
2009-01-25,"2009-01-25T15:00:56+00:00","2009-01-26T01:18:46+00:00","37070"
2009-01-26,"2009-01-26T15:00:19+00:00","2009-01-27T01:19:48+00:00","37169"
2009-01-27,"2009-01-27T14:59:40+00:00","2009-01-28T01:20:50+00:00","37270"
2009-01-28,"2009-01-28T14:58:59+00:00","2009-01-29T01:21:52+00:00","37373"
2009-01-29,"2009-01-29T14:58:17+00:00","2009-01-30T01:22:54+00:00","37477"
2009-01-30,"2009-01-30T14:57:33+00:00","2009-01-31T01:23:56+00:00","37583"
2009-01-31,"2009-01-31T14:56:48+00:00","2009-02-01T01:24:58+00:00","37690"
2009-02-01,"2009-02-01T14:56:01+00:00","2009-02-02T01:26:00+00:00","37799"
2009-02-02,"2009-02-02T14:55:12+00:00","2009-02-03T01:27:02+00:00","37910"
2009-02-03,"2009-02-03T14:54:22+00:00","2009-02-04T01:28:03+00:00","38021"
