"date","heat","cool"
2011-01-01,24,0
2011-01-02,23,0
2011-01-03,21,0
2011-01-04,20,0
2011-01-05,19,0
2011-01-06,17,0
2011-01-07,17,0
2011-01-08,20,0
2011-01-09,22,0
2011-01-10,22,0
2011-01-11,21,0
2011-01-12,13,0
2011-01-13,12,0
2011-01-14,10,0
2011-01-15,7,0
2011-01-16,6,0
2011-01-17,5,1
2011-01-18,6,0
2011-01-19,11,0
2011-01-20,10,0
2011-01-21,10,0
2011-01-22,10,0
2011-01-23,10,0
2011-01-24,10,0
2011-01-25,10,0
2011-01-26,10,0
2011-01-27,9,0
2011-01-28,11,0
2011-01-29,15,0
2011-01-30,18,0
2011-01-31,16,0
2011-02-01,17,0
2011-02-02,18,0
2011-02-03,19,0
2011-02-04,16,0
2011-02-05,12,0
2011-02-06,8,0
2011-02-07,7,0
2011-02-08,15,0
2011-02-09,15,0
2011-02-10,15,0
2011-02-11,13,0
2011-02-12,9,0
2011-02-13,11,0
2011-02-14,16,0
2011-02-15,13,0
2011-02-16,15,0
2011-02-17,21,0
2011-02-18,19,0
2011-02-19,21,0
2011-02-20,21,0
2011-02-21,21,0
2011-02-22,20,0
2011-02-23,21,0
2011-02-24,21,0
2011-02-25,20,0
2011-02-26,23,0
2011-02-27,23,0
2011-02-28,21,0
2011-03-01,18,0
2011-03-02,16,0
2011-03-03,12,0
2011-03-04,11,0
2011-03-05,9,0
2011-03-06,11,0
2011-03-07,14,0
2011-03-08,12,0
2011-03-09,9,0
2011-03-10,7,0
2011-03-11,10,0
2011-03-12,12,0
2011-03-13,11,0
2011-03-14,8,0
2011-03-15,6,0
2011-03-16,8,0
2011-03-17,11,0
2011-03-18,15,0
2011-03-19,19,0
2011-03-20,18,0
2011-03-21,18,0
2011-03-22,18,0
2011-03-23,18,0
2011-03-24,19,0
2011-03-25,17,0
2011-03-26,17,0
2011-03-27,14,0
2011-03-28,13,0
2011-03-29,10,0
2011-03-30,4,0
2011-03-31,1,3
2011-04-01,1,4
2011-04-02,5,0
2011-04-03,9,0
2011-04-04,6,0
2011-04-05,6,0
2011-04-06,8,0
2011-04-07,15,0
2011-04-08,20,0
2011-04-09,19,0
2011-04-10,15,0
2011-04-11,12,0
2011-04-12,11,0
2011-04-13,14,0
2011-04-14,11,0
2011-04-15,7,0
2011-04-16,3,2
2011-04-17,2,0
2011-04-18,6,0
2011-04-19,6,0
2011-04-20,7,0
2011-04-21,8,0
2011-04-22,9,0
2011-04-23,9,0
2011-04-24,9,0
2011-04-25,7,0
2011-04-26,8,0
2011-04-27,5,0
2011-04-28,5,0
2011-04-29,9,0
2011-04-30,8,0
2011-05-01,5,0
2011-05-02,2,0
2011-05-03,2,2
2011-05-04,0,3
2011-05-05,0,4
2011-05-06,1,1
2011-05-07,5,0
2011-05-08,9,0
2011-05-09,12,0
2011-05-10,9,0
2011-05-11,7,0
2011-05-12,4,0
2011-05-13,2,0
2011-05-14,8,0
2011-05-15,13,0
2011-05-16,15,0
2011-05-17,14,0
2011-05-18,12,0
2011-05-19,9,0
2011-05-20,6,0
2011-05-21,4,0
2011-05-22,5,0
2011-05-23,8,0
2011-05-24,7,0
2011-05-25,7,0
2011-05-26,7,0
2011-05-27,5,0
2011-05-28,7,0
2011-05-29,10,0
2011-05-30,8,0
2011-05-31,7,0
2011-06-01,9,0
2011-06-02,8,0
2011-06-03,7,0
2011-06-04,8,0
2011-06-05,5,0
2011-06-06,6,0
2011-06-07,4,0
2011-06-08,3,0
2011-06-09,2,1
2011-06-10,2,1
2011-06-11,3,0
2011-06-12,2,0
2011-06-13,0,1
2011-06-14,0,5
2011-06-15,0,5
2011-06-16,0,1
2011-06-17,1,1
2011-06-18,0,1
2011-06-19,1,2
2011-06-20,0,6
2011-06-21,0,9
2011-06-22,0,10
2011-06-23,0,7
2011-06-24,0,4
2011-06-25,0,4
2011-06-26,0,4
2011-06-27,0,6
2011-06-28,1,4
2011-06-29,2,2
2011-06-30,0,2
2011-07-01,0,7
2011-07-02,0,10
2011-07-03,0,11
2011-07-04,0,12
2011-07-05,0,13
2011-07-06,0,12
2011-07-07,0,13
2011-07-08,0,11
2011-07-09,0,9
2011-07-10,0,7
2011-07-11,0,4
2011-07-12,0,3
2011-07-13,0,2
2011-07-14,1,1
2011-07-15,1,1
2011-07-16,0,2
2011-07-17,0,3
2011-07-18,0,6
2011-07-19,0,7
2011-07-20,0,7
2011-07-21,0,7
2011-07-22,0,6
2011-07-23,0,6
2011-07-24,0,7
2011-07-25,0,8
2011-07-26,0,8
2011-07-27,0,7
2011-07-28,0,8
2011-07-29,0,8
2011-07-30,0,9
2011-07-31,0,9
2011-08-01,0,10
2011-08-02,0,10
2011-08-03,0,10
2011-08-04,0,7
2011-08-05,0,6
2011-08-06,0,6
2011-08-07,0,6
2011-08-08,0,7
2011-08-09,0,6
2011-08-10,0,5
2011-08-11,0,5
2011-08-12,0,6
2011-08-13,0,7
2011-08-14,0,8
2011-08-15,0,8
2011-08-16,0,8
2011-08-17,0,9
2011-08-18,0,9
2011-08-19,0,6
2011-08-20,0,4
2011-08-21,0,5
2011-08-22,0,6
2011-08-23,0,10
2011-08-24,0,11
2011-08-25,0,12
2011-08-26,0,13
2011-08-27,0,14
2011-08-28,0,13
2011-08-29,0,11
2011-08-30,0,8
2011-08-31,0,6
2011-09-01,0,6
2011-09-02,0,7
2011-09-03,0,8
2011-09-04,0,8
2011-09-05,0,9
2011-09-06,0,11
2011-09-07,0,14
2011-09-08,0,12
2011-09-09,0,9
2011-09-10,0,6
2011-09-11,0,5
2011-09-12,0,6
2011-09-13,0,6
2011-09-14,0,5
2011-09-15,0,4
2011-09-16,0,1
2011-09-17,0,2
2011-09-18,0,4
2011-09-19,0,8
2011-09-20,0,9
2011-09-21,0,9
2011-09-22,0,9
2011-09-23,0,9
2011-09-24,0,6
2011-09-25,1,1
2011-09-26,0,2
2011-09-27,0,5
2011-09-28,0,8
2011-09-29,0,7
2011-09-30,0,5
2011-10-01,1,5
2011-10-02,1,5
2011-10-03,2,2
2011-10-04,6,0
2011-10-05,9,0
2011-10-06,11,0
2011-10-07,8,0
2011-10-08,5,0
2011-10-09,3,0
2011-10-10,3,0
2011-10-11,1,2
2011-10-12,1,7
2011-10-13,0,9
2011-10-14,0,7
2011-10-15,0,3
2011-10-16,0,3
2011-10-17,0,4
2011-10-18,0,3
2011-10-19,1,0
2011-10-20,2,0
2011-10-21,1,0
2011-10-22,0,2
2011-10-23,0,4
2011-10-24,2,0
2011-10-25,6,0
2011-10-26,7,0
2011-10-27,7,0
2011-10-28,4,0
2011-10-29,3,0
2011-10-30,2,1
2011-10-31,2,0
2011-11-01,4,0
2011-11-02,5,0
2011-11-03,9,0
2011-11-04,16,0
2011-11-05,18,0
2011-11-06,19,0
2011-11-07,16,0
2011-11-08,15,0
2011-11-09,13,0
2011-11-10,11,0
2011-11-11,10,0
2011-11-12,13,0
2011-11-13,10,0
2011-11-14,11,0
2011-11-15,10,0
2011-11-16,10,0
2011-11-17,10,0
2011-11-18,14,0
2011-11-19,16,0
2011-11-20,18,0
2011-11-21,16,0
2011-11-22,15,0
2011-11-23,14,0
2011-11-24,15,0
2011-11-25,13,0
2011-11-26,9,0
2011-11-27,7,0
2011-11-28,7,0
2011-11-29,7,0
2011-11-30,11,0
2011-12-01,14,0
2011-12-02,14,0
2011-12-03,18,0
2011-12-04,19,0
2011-12-05,20,0
2011-12-06,19,0
2011-12-07,18,0
2011-12-08,17,0
2011-12-09,15,0
2011-12-10,15,0
2011-12-11,19,0
2011-12-12,21,0
2011-12-13,19,0
2011-12-14,19,0
2011-12-15,21,0
2011-12-16,18,0
2011-12-17,15,0
2011-12-18,17,0
2011-12-19,19,0
2011-12-20,17,0
2011-12-21,17,0
2011-12-22,19,0
2011-12-23,18,0
2011-12-24,16,0
2011-12-25,14,0
2011-12-26,15,0
2011-12-27,15,0
2011-12-28,12,0
2011-12-29,10,0
2011-12-30,11,0
2011-12-31,11,0
2012-01-01,9,0
2012-01-02,8,0
2012-01-03,8,0
2012-01-04,6,0
2012-01-05,6,0
2012-01-06,11,0
2012-01-07,14,0
2012-01-08,13,0
2012-01-09,11,0
2012-01-10,12,0
